metadata_event_type,metadata_event_type_key_name,metadata_event_metadata_version,id,status,type,expires_at,activated_at,ordered_at,effective_from,canceled_at,cancelation_reason,created_at,updated_at,replacement_reason,replacement_for,replacement_by,subscription_key,party_key,card_product_id
INSERT,cardId,1.0.0,8e8bfafc-27fb-4a0e-8a99-c5353ec7b9f9,NEW,VIRTUAL,,,,2024-05-27,,,2024-05-27 06:22:27.844,2024-05-27 06:22:27.844,,,,f4d718ad-16cf-48bf-b553-717d6a238ea3,0001ad26-2460-4f58-9eaa-5b93c53d13ac,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,8e8bfafc-27fb-4a0e-8a99-c5353ec7b9f9,ACTIVE,VIRTUAL,2029-05-31,2024-05-27 06:23:10.971,2024-05-27 06:23:10.971,2024-05-27,,,2024-05-27 06:22:27.844,2024-05-27 06:23:10.984,,,,f4d718ad-16cf-48bf-b553-717d6a238ea3,0001ad26-2460-4f58-9eaa-5b93c53d13ac,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,e894525b-3bbc-482c-93ed-5a377ba222b8,NEW,VIRTUAL,,,,2024-05-31,,,2024-05-31 05:35:59.275,2024-05-31 05:35:59.275,,,,bb601fe2-c0ea-41a6-8eba-dd7729c61ec2,000a9d91-2fa0-4a8b-9af2-76abf97fafea,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,e894525b-3bbc-482c-93ed-5a377ba222b8,ACTIVE,VIRTUAL,2029-05-31,2024-05-31 05:37:05.551,2024-05-31 05:37:05.551,2024-05-31,,,2024-05-31 05:35:59.275,2024-05-31 05:37:05.562,,,,bb601fe2-c0ea-41a6-8eba-dd7729c61ec2,000a9d91-2fa0-4a8b-9af2-76abf97fafea,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,8bd30e69-ad29-4688-8fca-af9915d77b55,NEW,VIRTUAL,,,,2024-05-23,,,2024-05-23 08:12:28.838,2024-05-23 08:12:28.838,,,,4d363aa1-674b-4e94-b018-ddb3e00cc13b,000bc1d8-e72c-4b89-9d1e-318f9ae4aef1,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,8bd30e69-ad29-4688-8fca-af9915d77b55,ACTIVE,VIRTUAL,2029-05-31,2024-05-23 08:13:18.232,2024-05-23 08:13:18.232,2024-05-23,,,2024-05-23 08:12:28.838,2024-05-23 08:13:18.242,,,,4d363aa1-674b-4e94-b018-ddb3e00cc13b,000bc1d8-e72c-4b89-9d1e-318f9ae4aef1,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,bef6528a-304b-4546-a58d-d1c4f003018c,NEW,VIRTUAL,,,,2024-02-22,,,2024-02-22 12:45:12.659,2024-02-22 12:45:12.659,,,,ccede0e5-3774-487a-ac08-83f0016b23a8,000ed668-67f2-4a21-add2-be2f968bfd88,2a8181cb-e44c-4b13-8732-a0503d0a97e2
UPDATE,cardId,1.0.0,bef6528a-304b-4546-a58d-d1c4f003018c,ACTIVE,VIRTUAL,2029-02-28,2024-02-22 12:45:28.115,2024-02-22 12:45:28.115,2024-02-22,,,2024-02-22 12:45:12.659,2024-02-22 12:45:28.133,,,,ccede0e5-3774-487a-ac08-83f0016b23a8,000ed668-67f2-4a21-add2-be2f968bfd88,2a8181cb-e44c-4b13-8732-a0503d0a97e2
UPDATE,cardId,1.0.0,b0625ed4-0e2c-4fc7-94b8-29f30293eb39,ACTIVE,VIRTUAL,2029-05-31,2024-05-23 13:41:23.347,2024-05-23 13:41:23.347,2024-05-23,,,2024-05-23 13:41:16.075,2024-05-23 13:41:23.364,,,,c8e85bd9-1fa4-4ff0-a61e-a56c75a2a574,001481da-49d8-4e87-88d2-062e45de1c0e,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,b0625ed4-0e2c-4fc7-94b8-29f30293eb39,NEW,VIRTUAL,,,,2024-05-23,,,2024-05-23 13:41:16.075,2024-05-23 13:41:16.075,,,,c8e85bd9-1fa4-4ff0-a61e-a56c75a2a574,001481da-49d8-4e87-88d2-062e45de1c0e,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,5c1bacb5-9afb-46ac-9a87-ed860a47ce2a,ACTIVE,VIRTUAL,2029-05-31,2024-05-23 08:37:50.182,2024-05-23 08:37:50.182,2024-05-23,,,2024-05-23 08:36:59.987,2024-05-23 08:37:50.195,,,,b4f587d3-b42f-4eb6-b2fd-6c0f3466f2b1,001f0080-ce79-4e00-9025-c632a7eb921d,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,5c1bacb5-9afb-46ac-9a87-ed860a47ce2a,NEW,VIRTUAL,,,,2024-05-23,,,2024-05-23 08:36:59.987,2024-05-23 08:36:59.987,,,,b4f587d3-b42f-4eb6-b2fd-6c0f3466f2b1,001f0080-ce79-4e00-9025-c632a7eb921d,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,aa609216-98a1-49b3-ba4f-cce744145db6,NEW,VIRTUAL,,,,2024-05-23,,,2024-05-23 13:45:46.824,2024-05-23 13:45:46.824,,,,31c84e14-f6dd-4987-9f02-cf024dfec3d9,002fad35-bb49-4fdb-953e-62628015ca6b,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,aa609216-98a1-49b3-ba4f-cce744145db6,ACTIVE,VIRTUAL,2029-05-31,2024-05-23 13:45:54.251,2024-05-23 13:45:54.251,2024-05-23,,,2024-05-23 13:45:46.824,2024-05-23 13:45:54.268,,,,31c84e14-f6dd-4987-9f02-cf024dfec3d9,002fad35-bb49-4fdb-953e-62628015ca6b,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,ea41256d-3a50-4cde-8d28-52155abb0943,NEW,VIRTUAL,,,,2024-05-31,,,2024-05-31 05:23:16.483,2024-05-31 05:23:16.483,,,,59b2c849-0a6d-4ea7-a1dc-84b61b85e1c0,003b2979-f497-4684-8c8b-764a7fd663c6,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,ea41256d-3a50-4cde-8d28-52155abb0943,ACTIVE,VIRTUAL,2029-05-31,2024-05-31 05:23:33.241,2024-05-31 05:23:33.241,2024-05-31,,,2024-05-31 05:23:16.483,2024-05-31 05:23:33.255,,,,59b2c849-0a6d-4ea7-a1dc-84b61b85e1c0,003b2979-f497-4684-8c8b-764a7fd663c6,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,190f23d6-b1d5-4ee3-a679-c6413327544a,ACTIVE,VIRTUAL,2029-05-31,2024-05-27 05:17:12.932,2024-05-27 05:17:12.932,2024-05-27,,,2024-05-27 05:16:11.022,2024-05-27 05:17:12.945,,,,425393c0-cdf5-4697-a635-b1720d042b17,0040f40b-3fba-4856-8dcc-b3561e2bf906,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,190f23d6-b1d5-4ee3-a679-c6413327544a,NEW,VIRTUAL,,,,2024-05-27,,,2024-05-27 05:16:11.022,2024-05-27 05:16:11.022,,,,425393c0-cdf5-4697-a635-b1720d042b17,0040f40b-3fba-4856-8dcc-b3561e2bf906,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,3e1e54c4-e311-4e46-a153-e7965791ce46,ACTIVE,VIRTUAL,2029-02-28,2024-02-13 13:34:23.202,2024-02-13 13:34:23.202,2024-02-13,,,2024-02-13 13:34:16.798,2024-02-13 13:34:23.230,,,,cbcec3c4-7a99-4dd7-95be-51e21ae3c3e3,0042a796-5342-4e10-8c26-f3cd5cd01995,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,15eb78d6-1853-4cde-a429-7da122194734,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 18:21:34.223,2023-12-13 18:21:34.223,,,,f2d1b4a6-b841-457b-b78b-79cc17678240,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,fe588d35-a1ef-4c0f-a458-c09b74de26e8,NEW,VIRTUAL,,,,2024-02-13,,,2024-02-13 13:29:35.282,2024-02-13 13:29:35.282,,,,0b7358df-cdeb-454d-ab69-f22a44f030da,0042a796-5342-4e10-8c26-f3cd5cd01995,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,72d85f32-023e-4f5b-a8ea-2dd83f2c49a8,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 19:43:13.366,2023-12-13 19:43:13.366,2023-12-13,,,2023-12-13 19:43:11.601,2023-12-13 19:43:13.498,,,,3420727a-1aaa-445a-901c-d233b3299e97,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,895a5a66-6713-41b0-a61f-c6459aaf55a8,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 18:23:04.416,2023-12-13 18:23:04.416,,,,e518c49f-b268-4dd2-b049-6478992dface,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,279bec45-95ed-4730-a321-14304c5bb9c1,ACTIVE,VIRTUAL,2028-09-30,2023-09-07 06:14:40.264,2023-09-07 06:14:40.264,2023-09-07,,,2023-09-07 06:14:38.152,2023-09-07 06:14:40.298,,,,2bde6953-21b2-420e-a4dd-309abcb7db89,0042a796-5342-4e10-8c26-f3cd5cd01995,9b19c035-031f-47a9-8568-b5fa8212d0c9
INSERT,cardId,1.0.0,80f2ebd6-31cb-46a2-b4c0-ecbbbc2914af,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 18:43:37.465,2023-12-13 18:43:37.465,,,,490f787c-36bd-440e-ba14-80f4b57dd172,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,3e1e54c4-e311-4e46-a153-e7965791ce46,NEW,VIRTUAL,,,,2024-02-13,,,2024-02-13 13:34:16.798,2024-02-13 13:34:16.798,,,,cbcec3c4-7a99-4dd7-95be-51e21ae3c3e3,0042a796-5342-4e10-8c26-f3cd5cd01995,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,15eb78d6-1853-4cde-a429-7da122194734,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 18:21:37.262,2023-12-13 18:21:37.262,2023-12-13,,,2023-12-13 18:21:34.223,2023-12-13 18:21:37.272,,,,f2d1b4a6-b841-457b-b78b-79cc17678240,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,49770a59-0267-4810-ac92-e6350339534f,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 18:12:26.562,2023-12-13 18:12:26.562,2023-12-13,,,2023-12-13 18:12:22.529,2023-12-13 18:12:26.578,,,,2cf74fab-509d-46ec-a370-6abd963cc0a8,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,f3e5db41-0ddc-478a-9115-3e7e8b34d551,NEW,VIRTUAL,,,,2023-09-01,,,2023-09-01 14:25:11.257,2023-09-01 14:25:11.257,,,,9bdca222-d894-4bc8-92ea-bbd3ef24e6a0,0042a796-5342-4e10-8c26-f3cd5cd01995,9b19c035-031f-47a9-8568-b5fa8212d0c9
UPDATE,cardId,1.0.0,f6125205-6a75-4593-b58b-7dac2ad8ac2e,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 19:48:03.883,2023-12-13 19:48:03.883,2023-12-13,,,2023-12-13 19:47:58.825,2023-12-13 19:48:03.909,,,,0c0e9fad-5bf0-4e39-bfc4-8062286ac38c,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,71d99304-a212-48fe-b688-865fb24b2688,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 18:23:47.422,2023-12-13 18:23:47.422,2023-12-13,,,2023-12-13 18:23:36.467,2023-12-13 18:23:47.433,,,,60b5623e-d0fa-4742-be93-8e1706765806,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,44358157-7cd8-4f86-b68c-303e4c4cc23d,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 19:55:04.196,2023-12-13 19:55:04.196,2023-12-13,,,2023-12-13 19:54:55.869,2023-12-13 19:55:04.210,,,,3fad035e-44eb-4354-941a-0ba62268e415,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,52f0e566-d608-40eb-a55f-aa8b2e44c475,CANCELED,VIRTUAL,2029-02-28,2024-02-13 12:36:21.829,2024-02-13 12:36:21.829,2024-02-13,2024-02-13 14:20:19.997,,2024-02-13 12:36:17.404,2024-02-13 14:20:19.997,,,,e2bb1a0e-082c-4d66-9b9e-27ac33ade7eb,0042a796-5342-4e10-8c26-f3cd5cd01995,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,ef850845-1d46-478f-85a2-41fe291c0074,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 19:04:57.536,2023-12-13 19:04:57.536,,,,7229b33f-e833-4ae5-b204-d0bf47051b71,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,b503948b-4eb7-492c-8115-168b58183dca,PROVISIONING_FAILED,VIRTUAL,,,,2023-06-13,,,2023-06-13 16:39:19.183,2023-06-13 16:39:20.000,,,,ab6fb584-29ec-4ac1-a8d6-5c73adea3741,0042a796-5342-4e10-8c26-f3cd5cd01995,9b19c035-031f-47a9-8568-b5fa8212d0c9
UPDATE,cardId,1.0.0,c15068e9-1aef-4a04-9de3-00eb1fca801d,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 19:10:00.970,2023-12-13 19:10:00.970,2023-12-13,,,2023-12-13 19:09:58.765,2023-12-13 19:10:00.987,,,,30cba917-bf6b-43dc-b4ae-1f765e066df5,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,3022b6f9-f5ac-4e3e-85c8-1f070ad2d23e,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 18:52:49.681,2023-12-13 18:52:49.681,2023-12-13,,,2023-12-13 18:52:42.184,2023-12-13 18:52:49.693,,,,2259bd00-a5dc-4c25-9d86-88c749ebde94,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,bf041677-e578-47d5-8791-1f6a0943c7a6,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 18:57:37.095,2023-12-13 18:57:37.095,2023-12-13,,,2023-12-13 18:57:10.533,2023-12-13 18:57:37.219,,,,d425335d-5873-4e51-958b-6b150de3f3db,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,f3e5db41-0ddc-478a-9115-3e7e8b34d551,ACTIVE,VIRTUAL,2028-09-30,2023-09-01 14:25:19.134,2023-09-01 14:25:19.134,2023-09-01,,,2023-09-01 14:25:11.257,2023-09-01 14:25:19.164,,,,9bdca222-d894-4bc8-92ea-bbd3ef24e6a0,0042a796-5342-4e10-8c26-f3cd5cd01995,9b19c035-031f-47a9-8568-b5fa8212d0c9
INSERT,cardId,1.0.0,5d98b909-bdb3-4af7-bb54-018cb14721b0,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 18:06:20.821,2023-12-13 18:06:20.821,,,,dc946953-3706-42c0-8956-59b1c99e10a2,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,895a5a66-6713-41b0-a61f-c6459aaf55a8,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 18:23:07.406,2023-12-13 18:23:07.406,2023-12-13,,,2023-12-13 18:23:04.416,2023-12-13 18:23:07.430,,,,e518c49f-b268-4dd2-b049-6478992dface,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,8a66076f-d9af-4069-96eb-e368c96f2943,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 18:38:08.405,2023-12-13 18:38:08.405,2023-12-13,,,2023-12-13 18:37:58.024,2023-12-13 18:38:08.419,,,,6501267d-81c4-41d8-93a6-c1a7567f68a1,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,4329c100-7d8d-42a4-8759-935b6b582d86,PROVISIONING_FAILED,VIRTUAL,,,,2024-01-24,,,2024-01-24 08:23:17.944,2024-01-24 08:23:28.174,,,,f87ce55a-f8fe-4148-9aa9-bab90c5ee3b3,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,6ddab17c-ab7b-4154-86aa-c93e708dcb61,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 19:58:15.740,2023-12-13 19:58:15.740,,,,e00480e5-6f24-465d-937e-20382ec25b04,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,1974d494-441b-45e4-bb1b-3ab735d58462,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 18:20:52.849,2023-12-13 18:20:52.849,,,,15747fac-d702-40bb-b994-8a8fcd140e7a,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,279bec45-95ed-4730-a321-14304c5bb9c1,NEW,VIRTUAL,,,,2023-09-07,,,2023-09-07 06:14:38.152,2023-09-07 06:14:38.152,,,,2bde6953-21b2-420e-a4dd-309abcb7db89,0042a796-5342-4e10-8c26-f3cd5cd01995,9b19c035-031f-47a9-8568-b5fa8212d0c9
UPDATE,cardId,1.0.0,f7392294-3028-4d4a-ada6-5fc4ca510f8c,ACTIVE,VIRTUAL,2029-10-31,2024-10-15 10:42:14.775,2024-10-15 10:42:14.775,2024-10-15,,,2024-10-15 10:42:09.489,2024-10-15 10:42:14.791,,,,bff03ece-ef84-44a9-b9af-5ec98c53120e,0042a796-5342-4e10-8c26-f3cd5cd01995,c5bed173-c64e-464b-bead-98583953b41a
INSERT,cardId,1.0.0,2decd138-b79a-4c55-a9c9-33e97f3e44df,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 20:49:59.723,2023-12-13 20:49:59.723,,,,24244339-bc90-4914-a4bb-780d4be12b4f,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
