created_date,party_key,status,action_codes,risk_rating,outcomes,explanations,risk_score,updated_date
2025-02-04 21:15:17.000,005b9dde-f538-483e-9b10-caca80d1b36d,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],235,2025-02-04 21:15:17.000
2024-12-11 04:30:33.000,00f1609b-bfc1-4e04-a2ca-f595d5ba77ef,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-12-11 04:30:33.000
2024-10-22 07:32:17.000,0102dee6-510f-4911-9433-0170ef9eb72d,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-10-22 07:32:17.000
2024-12-08 06:32:37.000,0111c977-bf73-48df-93dd-be9ca552edbc,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-12-08 06:32:37.000
2024-10-22 05:36:43.000,019edf17-c063-462f-9807-58dac16e9704,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-10-22 05:36:43.000
2024-10-25 07:16:18.000,01b33e91-4bd3-41be-bb9e-a91c0b90826d,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-10-25 07:16:18.000
2024-11-04 10:21:21.000,01b4e01a-73de-4cd1-95bf-883717691e25,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-04 10:21:21.000
2024-08-08 08:12:34.000,01f0b208-0e35-4cfb-9c1b-8f5281800238,ok,[],High Risk,"{rca=no match, account_opening_decision=review, risk_scoring_decision=true, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=true, internal_lists=no match",[],793,2024-08-08 08:12:34.000
2024-06-19 11:36:42.000,026a98c7-ee71-4793-96c0-35c1b49f738e,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-06-19 11:36:42.000
2024-08-08 10:58:11.000,02ab4eab-ca8f-418c-afa0-19b3818a13a8,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-08-08 10:58:11.000
2025-02-03 09:09:55.000,02e90c56-05ef-45f9-9f20-47a97d86adf2,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],235,2025-02-03 09:09:55.000
2024-11-21 12:54:01.000,033e16d4-a4ce-48d7-bf6a-5afb8bc1d167,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-21 12:54:01.000
2024-11-14 11:51:46.000,034f254b-6e7f-4683-82e1-7f849428e976,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-14 11:51:46.000
2024-10-23 05:35:03.000,0359d4c4-63df-46a9-800f-ea8b9c106d74,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-10-23 05:35:03.000
2024-08-15 05:59:55.000,03928ec4-affe-4069-bba3-7805ffa2bafb,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-08-15 05:59:55.000
2024-08-14 08:44:59.000,03993d9a-a814-4c29-92a6-a3e739dda332,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-08-14 08:44:59.000
2024-07-15 12:17:58.000,03ae9cc6-0ebd-48d2-b1be-78a0f4b3d01d,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-07-15 12:17:58.000
2024-11-05 11:19:39.000,03c6bfd0-6875-4c3d-ab97-5b0460490c04,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-05 11:19:39.000
2024-12-13 04:10:39.000,03f3ae8d-6205-4cdb-912a-25fdd9fec43c,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],235,2024-12-13 04:10:39.000
2025-01-15 08:34:20.000,044e3948-1f6e-455e-987f-848fac35a969,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],235,2025-01-15 08:34:20.000
2024-11-08 08:41:40.000,04596ec7-f0ca-4580-97be-4029966c74c7,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-08 08:41:40.000
2024-07-05 05:48:50.000,046c072d-c1d5-493e-80c2-67ae3a064abb,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-07-05 05:48:50.000
2024-07-17 05:16:52.000,0507abc8-f45f-45ec-81e2-2a09d983ecaa,ok,[],Low Risk,"{rca=no match, account_opening_decision=review, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no mat",[],210,2024-07-17 05:16:52.000
2025-01-20 11:58:37.000,053f5d48-95e8-4859-9e0d-987383d8155b,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],235,2025-01-20 11:58:37.000
2025-01-21 13:54:58.000,05aa3c0e-4104-4179-89b9-f9124fc1c481,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],235,2025-01-21 13:54:58.000
2024-11-04 06:38:08.000,05ad5d57-3ab2-4fd5-88db-d75f6603020b,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-04 06:38:08.000
2024-11-05 04:41:24.000,0638af72-5239-4911-a349-3ed86490eabd,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-05 04:41:24.000
2024-07-12 04:29:26.000,06bff5c9-4424-4893-99f1-47296232104f,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-07-12 04:29:26.000
2024-07-17 14:11:54.000,0704626e-1dce-4929-9f23-7d8923c8369b,ok,[],Low Risk,"{rca=no match, account_opening_decision=review, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no mat",[],210,2024-07-17 14:11:54.000
2024-11-22 03:21:17.000,0711c612-a6bb-45b7-8a39-0efa2117a748,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-22 03:21:17.000
2024-09-09 14:53:02.000,0775e328-697e-4f57-b446-7ce156d28b30,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-09-09 14:53:02.000
2024-12-10 13:47:24.000,07a02d5f-ceed-464c-8287-51a4128431fa,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-12-10 13:47:24.000
2024-11-14 14:07:18.000,08aa06c2-aa7b-479b-8ba8-5255a6d5cb1d,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-14 14:07:18.000
2024-06-24 03:30:35.000,08bf7081-2463-4a65-a74e-c14f292a8fa7,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-06-24 03:30:35.000
2024-07-05 14:55:46.000,08ce1b69-3ef7-4093-8994-001d2604f295,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-07-05 14:55:46.000
2024-09-03 17:37:56.000,08d9e4ac-958d-46a3-bac5-f0d47165ab16,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-09-03 17:37:56.000
2024-10-11 08:53:56.000,092b340a-2c16-496f-bf93-09c070da1ceb,ok,[],High Risk,"{rca=no match, account_opening_decision=review, risk_scoring_decision=true, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=true, internal_lists=no match",[],793,2024-10-11 08:53:56.000
2024-06-07 07:27:55.000,09749d2a-afcd-4ff4-8b64-f4aa6790f4db,ok,[],High Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=true, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no mat",[],793,2024-06-07 07:27:55.000
2024-11-25 10:08:06.000,0a0f60ce-ace0-42a1-ab7d-36d7e45daf29,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-25 10:08:06.000
2024-11-15 08:15:06.000,0a1c26f0-cf93-4ab8-8326-ce6d224c1bbe,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-15 08:15:06.000
2025-01-22 17:05:20.000,0a972bbd-2870-4837-b847-fe3ac6fe7777,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],235,2025-01-22 17:05:20.000
2024-07-15 07:47:31.000,0ba7f707-e075-4a2a-b253-b2899a7aa070,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-07-15 07:47:31.000
2024-09-20 05:02:38.000,0c08804d-b76d-4e72-850e-da0395760ed5,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-09-20 05:02:38.000
2024-11-14 04:57:00.000,0c288adf-a608-41c4-b02c-3dbf5e99806f,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-14 04:57:00.000
2025-01-17 11:56:28.000,0c3ed2f7-afca-48ae-a850-54a586e41bf8,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],235,2025-01-17 11:56:28.000
2024-11-05 14:04:58.000,0c467a8b-1db5-4900-a90d-ecc2015e50ce,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-05 14:04:58.000
2024-11-05 09:52:16.000,0cc1bb15-ccaa-4ee7-9f1a-02645e7dfa31,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-05 09:52:16.000
2024-08-15 08:02:29.000,0cda3e06-36db-4f9f-9af8-da1b0a5ea1fe,ok,[],High Risk,"{rca=no match, account_opening_decision=review, risk_scoring_decision=true, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=true, internal_lists=no match",[],793,2024-08-15 08:02:29.000
2024-11-25 08:36:27.000,0cddd9df-fdda-4a21-b6f8-641f0027ed5c,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-25 08:36:27.000
